,Date,prediction,actual
0,2017-01-01,364942.5242278129,237792
1,2017-01-02,308605.25019428134,255944
2,2017-01-03,338535.2969676256,532948
3,2017-01-04,488604.9868123941,524200
4,2017-01-05,492232.28863103874,515984
5,2017-01-06,490420.3776077777,491688
6,2017-01-07,380221.9102604538,256830
7,2017-01-08,206640.84103924036,198431
8,2017-01-09,404101.8278128952,567454
9,2017-01-10,582725.4320616424,582540
10,2017-01-11,590967.7107495964,585290
11,2017-01-12,590113.1357670501,585012
12,2017-01-13,571243.2083775774,571941
13,2017-01-14,322169.9238128662,292018
14,2017-01-15,292135.8112694025,228344
15,2017-01-16,548440.2600375712,356341
16,2017-01-17,515602.1237787884,604477
17,2017-01-18,593972.6260693967,607921
18,2017-01-19,597740.2192691118,608646
19,2017-01-20,600029.7699403912,599268
20,2017-01-21,405408.0632784143,467506
21,2017-01-22,274203.30564022064,221365
22,2017-01-23,509006.88428402133,593093
23,2017-01-24,597922.1333925575,608366
24,2017-01-25,613211.1661898345,609073
25,2017-01-26,603012.5910573155,614713
26,2017-01-27,585645.9835721627,586079
27,2017-01-28,346060.0327053666,306940
28,2017-01-29,287762.4557080865,223365
29,2017-01-30,575418.0337820053,585895
30,2017-01-31,604042.4480126202,607273
31,2017-02-01,591526.7044552267,615977
32,2017-02-02,604878.0212027282,604528
33,2017-02-03,600531.3628032207,566662
34,2017-02-04,359306.9335985482,300784
35,2017-02-05,296411.2469832301,230857
36,2017-02-06,561931.305762358,585903
37,2017-02-07,602259.9618905634,602915
38,2017-02-08,602409.6034371555,605336
39,2017-02-09,605856.5195092112,596584
40,2017-02-10,559546.9406201094,591340
41,2017-02-11,341563.2011499256,328633
42,2017-02-12,284635.1146467626,242349
43,2017-02-13,565780.7084532976,576276
44,2017-02-14,602054.695854336,617688
45,2017-02-15,595897.4279019982,604002
46,2017-02-16,593359.4471091777,606148
47,2017-02-17,603176.0674128681,606490
48,2017-02-18,384842.23077610135,362572
49,2017-02-19,279541.93410488963,268140
50,2017-02-20,563679.4317684397,457835
51,2017-02-21,535392.3042158857,608814
52,2017-02-22,610131.4236136973,622378
53,2017-02-23,622774.0402785689,616598
54,2017-02-24,592766.2359144688,593843
55,2017-02-25,362689.7064654231,303803
56,2017-02-26,272773.97667998075,234674
57,2017-02-27,576877.1717636138,591709
58,2017-02-28,606642.6919288039,599568
59,2017-03-01,589113.347154744,609844
60,2017-03-02,602700.7049329132,608801
61,2017-03-03,597281.4015091509,598950
62,2017-03-04,364330.18806289136,323545
63,2017-03-05,278556.5897073746,240737
64,2017-03-06,573088.2104615867,577889
65,2017-03-07,597772.4399816394,616894
66,2017-03-08,610369.7272255868,616911
67,2017-03-09,613983.5038004667,614754
68,2017-03-10,585671.7406930625,600080
69,2017-03-11,348010.59814190865,397576
70,2017-03-12,288029.2976653576,235934
71,2017-03-13,560835.710773848,578029
72,2017-03-14,599530.8351242691,596964
73,2017-03-15,589877.0882533416,614749
74,2017-03-16,605255.6583264172,622432
75,2017-03-17,604638.2135253847,601040
76,2017-03-18,365607.6064122766,326132
77,2017-03-19,280316.8389996588,245766
78,2017-03-20,574125.5812611207,567061
79,2017-03-21,592300.8184190243,589789
80,2017-03-22,589991.7278629243,579918
81,2017-03-23,584089.230445981,581350
82,2017-03-24,545578.1207242087,587722
83,2017-03-25,349034.84078392386,286898
84,2017-03-26,267204.9668792188,236544
85,2017-03-27,565940.3727808893,594476
86,2017-03-28,608508.1609724611,614337
87,2017-03-29,587911.5340265855,612460
88,2017-03-30,595827.7741121799,590249
89,2017-03-31,600057.1154062748,605278
90,2017-04-01,396627.1411497444,349671
91,2017-04-02,280711.42279186845,260712
92,2017-04-03,561773.7224908471,606811
93,2017-04-04,612211.8832547069,623073
94,2017-04-05,625333.4799362719,597962
95,2017-04-06,598989.2548660934,629806
96,2017-04-07,571330.0357423425,605396
97,2017-04-08,357301.6123998314,364851
98,2017-04-09,285078.45090541244,274792
99,2017-04-10,560970.1884881258,578325
100,2017-04-11,608056.0077783912,587854
101,2017-04-12,574880.1942383423,618692
102,2017-04-13,604428.3185980618,608786
103,2017-04-14,605434.43465814,551881
104,2017-04-15,363285.54977467656,366100
105,2017-04-16,300522.66176608205,239873
106,2017-04-17,559575.4659994096,602831
107,2017-04-18,611531.0991455466,630334
108,2017-04-19,627485.0455682278,618199
109,2017-04-20,614417.9193950444,618908
110,2017-04-21,578729.8368017897,615490
111,2017-04-22,352124.4894463271,376995
112,2017-04-23,284876.1800340116,270343
113,2017-04-24,563181.2165698409,601372
114,2017-04-25,620578.8567484468,621407
115,2017-04-26,604648.3789332807,618696
116,2017-04-27,603770.1214028746,611450
117,2017-04-28,603884.0802931786,604589
118,2017-04-29,372508.23278309405,293820
119,2017-04-30,285572.12149244547,220098
120,2017-05-01,585111.9301242977,614467
121,2017-05-02,615056.6285697371,626218
122,2017-05-03,618171.4443963319,639324
123,2017-05-04,630075.4093303084,632841
124,2017-05-05,603663.9940257967,633903
125,2017-05-06,357140.17171907425,371172
126,2017-05-07,283165.30558007956,270896
127,2017-05-08,569205.6599832922,594049
128,2017-05-09,613197.4999399334,606969
129,2017-05-10,601472.9077774286,604953
130,2017-05-11,600498.2085328251,620811
131,2017-05-12,589450.3874772564,612534
132,2017-05-13,359132.90285265446,344801
133,2017-05-14,270893.60960868,253538
134,2017-05-15,576840.5296172947,583281
135,2017-05-16,603784.9027357846,631807
136,2017-05-17,615075.6887095422,626971
137,2017-05-18,615619.7325232029,637423
138,2017-05-19,619581.9725383967,597095
139,2017-05-20,369393.0539062172,319617
140,2017-05-21,295611.9917874038,283104
141,2017-05-22,567541.3985923529,611525
142,2017-05-23,623980.4304334968,618860
143,2017-05-24,619747.8994833529,626476
144,2017-05-25,620909.2584372312,638245
145,2017-05-26,586015.108463347,568331
146,2017-05-27,338189.0377611667,372327
147,2017-05-28,321325.75411072373,278866
148,2017-05-29,550756.2226168662,272118
149,2017-05-30,522248.7737867031,593672
150,2017-05-31,586181.4114246666,612291
151,2017-06-01,587156.8951172009,631575
152,2017-06-02,616365.437802434,652150
153,2017-06-03,514078.1262159962,397654
154,2017-06-04,270225.93420791626,311722
155,2017-06-05,481932.5780628193,629386
